Код товара;Артикул;Бренд;Коллекция;Установка;Ширина;Высота;Глубина;Материал;Форма;Цвет;Миксер;Стандарт подводки;Режим струи;Диаметр лейки;Термостат;размер верхнего душа;Вес;Режим верхнего душа
226230;CZR-SP15-02;Cezares;Articoli Vari;На стену;200;empty;empty;Нержавеющая сталь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;200;3;empty
226077;CZR-H-SP21-01;Cezares;Articoli Vari;На стену / на потолок;290;empty;290;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;290;3;empty
226243;CZR-SP8-20-03/24;Cezares;Articoli Vari;На потолок;230;empty;empty;Нержавеющая сталь;Круглая;Золото;empty;01.фев;empty;empty;Нет;230;3;empty
226239;CZR-SP7-30-02;Cezares;Articoli Vari;На потолок;300;empty;empty;Нержавеющая сталь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;300;3;empty
226244;CZR-SP9-20-01;Cezares;Articoli Vari;На потолок;230;empty;empty;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;230;3;empty
226238;CZR-SP7-30-01;Cezares;Articoli Vari;На потолок;300;empty;empty;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;300;3;empty
226235;CZR-SP6-20-01;Cezares;Articoli Vari;На потолок;200;empty;empty;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;3;empty
226241;CZR-SP8-20-01;Cezares;Articoli Vari;На потолок;230;empty;empty;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;230;3;empty
226242;CZR-SP8-20-02;Cezares;Articoli Vari;На потолок;230;empty;empty;Нержавеющая сталь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;230;3;empty
226076;CZR-H-SP20-03;Cezares;Articoli Vari;На стену / на потолок;208;empty;208;Нержавеющая сталь;Круглая;Золото;empty;01.фев;empty;empty;Нет;208;3;empty
226078;CZR-H-SP21-02;Cezares;Articoli Vari;На стену / на потолок;290;empty;290;Нержавеющая сталь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;290;3;empty
226247;CZR-TDD-09-04;Cezares;Butterfly;На стену;90;empty;empty;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;90;3;empty
226233;CZR-SP5-22-02;Cezares;Articoli Vari;На потолок;217;empty;empty;Нержавеющая сталь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;217;3;empty
229798;BB-SLD1-CRM;BelBagno;empty;На потолок;225;70;225;Пластик;Круглая;Хром;empty;01.фев;empty;empty;empty;225;3;empty
230045;6452005-00;Kludi;A-Qa;На стену / на потолок;200;54;200;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;3;empty
230048;6751105-00;Kludi;Freshline;На стену / на потолок;250;54;250;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;250;3;empty
229794;BB-SLDC1-IN;BelBagno;Nova;На потолок;200;empty;200;Нержавеющая сталь;Круглая;Сатин;empty;01.фев;empty;empty;empty;200;3;empty
230046;6651005-00;Kludi;A-Qa;На стену / на потолок;200;72;200;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;янв.23;empty
230366;26252000;Hansgrohe;Raindance;На потолок;400;60;400;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;400;7.018;empty
229795;BB-SLDC2-IN;BelBagno;Nova;На потолок;254;empty;254;Нержавеющая сталь;Круглая;Сатин;empty;01.фев;empty;empty;empty;254;3;empty
230047;6757805-00;Kludi;Fizz;На стену / на потолок;340;55;340;Латунь;Округлая;Хром/белый;empty;01.фев;empty;empty;Нет;290;3;empty
230364;26238000;Hansgrohe;Raindance;На стену;300;105;540;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;300;5.419;empty
230363;26220000;Hansgrohe;Croma;На стену / на потолок;280;59;280;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;280;2.104;empty
230365;26250000;Hansgrohe;Raindance;На потолок;300;158;300;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;300;4.615;empty
230354;24001600;Hansgrohe;Rainmaker;На стену;258;160;586;Нержавеющая сталь/стекло;Прямоугольная;Хром/черный;empty;03.апр;empty;empty;Нет;586;9.605;empty
230362;24007600;Hansgrohe;Rainmaker;На стену;466;156;590;Нержавеющая сталь/стекло;Прямоугольная;Хром/черный;empty;01.фев;empty;empty;Нет;466;10.541;empty
230357;24003400;Hansgrohe;Rainmaker;На стену;466;156;591;Нержавеющая сталь/стекло;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;466;10.054;empty
230369;26522400;Hansgrohe;Croma;На стену / на потолок;187;85;187;Нержавеющая сталь/пластик;Круглая;Хром/белый;empty;01.фев;empty;empty;Нет;187;1.079;empty
230370;26524000;Hansgrohe;Croma;На стену / на потолок;187;85;187;Нержавеющая сталь/пластик;Округлая;Хром;empty;01.фев;empty;empty;Нет;187;1.134;empty
230367;26472000;Hansgrohe;Raindance;На потолок;260;60;260;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;260;3.225;empty
230361;24007400;Hansgrohe;Rainmaker;На стену;466;156;590;Нержавеющая сталь/стекло;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;466;10.541;empty
230356;24002600;Hansgrohe;Rainmaker;На потолок;270;164;466;Нержавеющая сталь/стекло;Прямоугольная;Хром/черный;empty;empty;empty;empty;Нет;466;07.сен;empty
230368;26522000;Hansgrohe;Croma;На стену / на потолок;187;85;187;Нержавеющая сталь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;187;1.116;empty
230371;26524400;Hansgrohe;Croma;На стену / на потолок;187;85;187;Нержавеющая сталь/пластик;Округлая;Хром/белый;empty;01.фев;empty;empty;Нет;187;1.128;empty
230359;24005400;Hansgrohe;Rainmaker;На стену;466;156;590;Нержавеющая сталь/стекло;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;466;11.145;empty
230358;24003600;Hansgrohe;Rainmaker;На стену;466;156;591;Нержавеющая сталь/стекло;Прямоугольная;Хром/черный;empty;01.фев;empty;empty;Нет;466;9.675;empty
230355;24002400;Hansgrohe;Rainmaker;На потолок;270;164;466;Нержавеющая сталь/стекло;Прямоугольная;Хром;empty;empty;empty;empty;Нет;466;июл.45;empty
230360;24005600;Hansgrohe;Rainmaker;На стену;466;156;590;Нержавеющая сталь/стекло;Прямоугольная;Хром/черный;empty;01.фев;empty;empty;Нет;466;окт.86;empty
230372;26577400;Hansgrohe;Crometta;На стену / на потолок;178;65;178;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;178;0.933;empty
230373;27437000;Hansgrohe;empty;На стену;empty;empty;empty;Нержавеющая сталь;empty;Хром;empty;empty;empty;empty;empty;391;июл.48;empty
232121;28190000;Grohe;Relexa Plus;На стену;80;80;169;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;80;0.63;empty
231517;X07P016;Ravak;Chrome;На стену / на потолок;300;57;300;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;300;2;empty
231521;X07P347;Ravak;ABS;На стену / на потолок;250;63;250;Пластик;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;2;empty
231519;X07P334;Ravak;Chrome;На стену / на потолок;200;44;200;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;2;empty
231516;X07P015;Ravak;empty;На стену / на потолок;200;57;200;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;2;empty
231518;X07P111;Ravak;empty;На стену / на потолок;304;60;304;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;304;2;empty
232372;A45708WSA;VitrA;Rain;На потолок;185;58;185;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;185;0.65;empty
143246;28494000;Axor;Starck;На стену / на потолок;240;60;240;Металл;Круглая;Хром;empty;01.фев;empty;empty;Нет;240;1.628;empty
236103;SW-512 (T) color;Timo;empty;На стену;205;empty;205;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;205;0.65;empty
236101;SW-1060 (T) chrome;Timo;empty;На стену;260;empty;260;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;260;0.63;empty
236105;SW-712 (T) chrome;Timo;empty;На стену;210;empty;210;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;0.66;empty
236106;SW-1113 (T) chrome;Timo;empty;На стену;220;empty;220;Пластик;Квадратная;Хром;empty;01.фев;empty;empty;Нет;220;0.56;empty
236102;SW-2060 (T) antique;Timo;empty;На стену;260;empty;260;Пластик;Круглая;Антик/серый;empty;01.фев;empty;empty;Нет;260;0.63;empty
236109;SW-4013 (T) chrome;Timo;empty;На потолок;300;empty;200;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;300;01.апр;empty
236107;SW-412 (T) white;Timo;empty;На стену;230;empty;230;Пластик;Круглая;Белый;empty;01.фев;empty;empty;Нет;230;0.65;empty
237790;LM8033C;Lemark;empty;На стену / на потолок;200;empty;200;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;0.5;empty
237794;LM8037C;Lemark;empty;На стену / на потолок;200;empty;300;Пластик;Овальная;Хром;empty;01.фев;empty;empty;Нет;empty;0.8;empty
237799;LM8043C;Lemark;empty;На стену / на потолок;empty;empty;empty;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;85;0.2;empty
237791;LM8034C;Lemark;empty;На стену / на потолок;300;empty;300;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;300;1;empty
237792;LM8035C;Lemark;empty;На стену / на потолок;200;empty;200;Пластик;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;0.6;empty
237795;LM8039C;Lemark;empty;На стену / на потолок;250;empty;160;Пластик;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;empty;0.7;empty
237797;LM8041C;Lemark;empty;На стену / на потолок;empty;empty;empty;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;85;0.25;empty
237798;LM8042C;Lemark;empty;На стену / на потолок;empty;empty;empty;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;85;0.32;empty
237796;LM8040C;Lemark;empty;На стену / на потолок;empty;empty;empty;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;100;0.25;empty
240542;26257000;Hansgrohe;Croma;На стену / на потолок;280;72;170;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;280;янв.74;empty
242681;6432591-00;Kludi;A-Qa;На стену / на потолок;250;56;250;Латунь;Круглая;Белый/хром;empty;01.фев;empty;empty;Нет;250;3;empty
243087;27705000;Grohe;Euphoria Cube;На стену / на потолок;152;52;152;Латунь/пластик;Квадратная;Хром;empty;01.фев;empty;empty;Нет;152;0.53;empty
243236;26457000;Grohe;Euphoria;На стену / на потолок;260;86;260;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;260;янв.38;empty
243076;26456000;Grohe;Euphoria;На стену / на потолок;260;86;260;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;260;янв.36;empty
243166;27541001;Grohe;New Tempesta Cosmopolitan;На стену / на потолок;200;58;200;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;0.56;empty
243237;26455000;Grohe;Euphoria;На стену / на потолок;260;86;260;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;260;янв.38;empty
243085;28233000;Grohe;Euphoria Cosmopolitan;На стену / на потолок;160;84;160;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;160;0.65;empty
243189;26408000;Grohe;Tempesta;На стену / на потолок;210;64;210;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;0.89;empty
243165;26089001;Grohe;New Tempesta;На стену;100;186;210;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;100;0.49;empty
243191;26410000;Grohe;Tempesta;На стену / на потолок;210;64;210;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;0.98;empty
243190;26409000;Grohe;Tempesta;На стену / на потолок;210;64;210;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;0.98;empty
244398;27863000;Grohe;Rainshower;Встраиваемая;230;14;230;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;230;03.сен;empty
244279;26458000;Grohe;Euphoria;На стену;260;164;510;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;260;янв.96;empty
244386;27477000;Grohe;Rainshower;На потолок / На стену;310;51;310;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;310;04.июл;empty
244400;27286000;Grohe;Rainshower;Встраиваемая;508;12;508;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;508;дек.27;empty
244374;28368000;Grohe;Rainshower;На потолок / На стену;210;41;210;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;янв.72;empty
244395;26254LS0;Grohe;Rainshower;На стену;361;147;557;Латунь;Овальная;Белый//Хром;empty;01.фев;empty;empty;Нет;361;04.мар;empty
244401;27938001;Grohe;Rainshower;На стену;381;105;678;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;empty;19.85;empty
244406;26479000;Grohe;Rainshower;На стену;310;97;535;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;310;05.мар;empty
244294;26073000;Grohe;Euphoria Cube;На стену;152;99;362;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;152;янв.22;empty
244402;27939001;Grohe;Rainshower;Встраиваемая;381;17;456;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;empty;окт.59;empty
244280;26459000;Grohe;Euphoria;На стену;260;164;510;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;260;янв.94;empty
244399;26475LS0;Grohe;Rainshower;На стену;310;97;535;Латунь;Круглая;Белый//Хром;empty;01.фев;empty;empty;Нет;310;мар.58;empty
244396;26170LS0;Grohe;Rainshower;На стену;300;132;497;Латунь;Овальная;Белый//Хром;empty;01.фев;empty;empty;Нет;300;мар.76;empty
244388;26475000;Grohe;Rainshower;На стену;310;97;535;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;310;03.май;empty
244376;26171000;Grohe;Rainshower;На стену;210;133;527;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;03.фев;empty
244393;27467000;Grohe;Rainshower;Встраиваемая;254;12;254;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;254;янв.99;empty
244380;26257000;Grohe;Rainshower;На стену;310;143;577;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;310;май.32;empty
244407;26481000;Grohe;Rainshower;На потолок;310;222;310;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;310;апр.84;empty
244438;27530000;Grohe;Relexa;На потолок / На стену;146;120;130;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;130;02.дек;empty
244390;26054000;Grohe;Rainshower;На стену;230;93;301;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;230;мар.51;empty
244394;26254000;Grohe;Rainshower;На стену;361;147;557;Латунь;Овальная;Хром;empty;01.фев;empty;empty;Нет;361;апр.33;empty
244392;27470LS0;Grohe;Rainshower;На потолок / На стену;300;40;150;Латунь;Овальная;Белый//Хром;empty;01.фев;empty;empty;Нет;300;фев.27;empty
244405;26259000;Grohe;Rainshower;На стену;254;133;549;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;254;апр.44;empty
244381;27479000;Grohe;Rainshower;На потолок / На стену;230;40;230;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;230;фев.76;empty
244377;27271000;Grohe;Rainshower;На потолок / На стену;254;41;254;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;254;фев.53;empty
244391;26064000;Grohe;Rainshower;На стену;230;93;301;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;230;мар.46;empty
244379;26060000;Grohe;Rainshower;На стену;254;118;413;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;254;фев.87;empty
244389;26477000;Grohe;Rainshower;На потолок;310;222;310;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;310;мар.29;empty
244404;26413000;Grohe;Rainshower;На потолок;210;197;210;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;янв.22;empty
244385;26066000;Grohe;Rainshower;На стену;310;128;535;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;310;апр.93;empty
244383;26170000;Grohe;Rainshower;На стену;300;132;497;Латунь;Овальная;Хром;empty;01.фев;empty;empty;Нет;300;мар.73;empty
244384;26056000;Grohe;Rainshower;На стену;310;128;535;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;310;апр.94;empty
244408;26479LS0;Grohe;Rainshower;На стену;310;97;535;Латунь;Квадратная;Белый//Хром;empty;01.фев;empty;empty;Нет;310;05.апр;empty
244378;27470000;Grohe;Rainshower;На потолок / На стену;300;40;150;Латунь;Овальная;Хром;empty;01.фев;empty;empty;Нет;300;фев.25;empty
244403;27865000;Grohe;Rainshower;Встраиваемая;508;17;508;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;508;13.апр;empty
244886;26577000;Hansgrohe;Crometta;На стену / на потолок;178;65;178;Нержавеющая сталь / Пластик;Круглая;Хром;empty;01.фев;empty;empty;empty;178;0.937;empty
246706;X07P335;Ravak;empty;На потолок;200;44;200;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;empty;200;0.831;empty
242979;AF301-84-RL;Aquanet;Passion;На потолок;300;20;300;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;300;01.май;empty
242978;AF301-84-RM;Aquanet;Passion;На потолок;200;20;200;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;200;0.76;empty
242982;AF301-84-SL;Aquanet;Passion;На потолок;300;20;300;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;300;янв.77;empty
242981;AF301-84-SM;Aquanet;Passion;На потолок;200;20;200;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;0.89;empty
242984;AF301-84-OS;Aquanet;Passion;На потолок;250;25;170;Нержавеющая сталь;Овальная;Хром;empty;01.фев;empty;empty;Нет;250;0.78;empty
242983;AF301-84-SXL;Aquanet;Passion;На потолок;400;20;400;Нержавеющая сталь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;400;02.авг;empty
242980;AF301-84-RXL;Aquanet;Passion;На потолок;400;20;400;Нержавеющая сталь;Круглая;Хром;empty;01.фев;empty;empty;Нет;400;02.май;empty
187707;S000430;Mariani;empty;На стену / на потолок;300;18;300;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;empty;empty;Нет;300;02.июл;empty
187706;S000420;Mariani;empty;На стену / на потолок;200;18;200;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;empty;empty;Нет;200;0.8;empty
187710;ST00130;Mariani;empty;На стену / на потолок;300;18;300;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;empty;empty;Нет;300;01.апр;empty
187709;ST00125;Mariani;empty;На стену / на потолок;250;18;250;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;empty;empty;Нет;250;01.июн;empty
187705;S000425;Mariani;empty;На стену / на потолок;250;18;250;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;empty;empty;Нет;250;empty;empty
196622;SR0/02;Mariani;empty;На стену / на потолок;200;30;500;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;200;06.фев;empty
196623;SR0/03;Mariani;empty;На стену / на потолок;200;30;500;Латунь;Прямоугольная;Хром;empty;01.фев;empty;empty;Нет;200;empty;empty
204281;28418000;Hansgrohe;Raindance;Встраивается в потолок;680;66;460;Латунь;Прямоугольная;Хром;Нет;01.фев;3;empty;Нет;680;15.351;3
204280;28417000;Hansgrohe;Raindance;Встраивается в потолок;680;66;460;Латунь;Прямоугольная;Хром;Нет;01.фев;3;empty;Нет;680;14.май;3
204265;27405000;Hansgrohe;Raindance;На потолок;270;177;270;Латунь;Круглая;Хром;Нет;01.фев;1;270;Нет;270;фев.87;1
204150;10627800;Axor;Shower;Встраивается в потолок;720;78;720;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;3;empty;Нет;720;34.8;3
161567;28411000;Hansgrohe;Raindance;На стену;280;160;548;Латунь;Прямоугольная;Хром;Нет;01.фев;3;empty;Нет;280;9.759;3
204389;28433400;Hansgrohe;Raindance;На стену;214;160;445;Латунь;Прямоугольная;Хром/белый;Нет;01.фев;2;empty;Нет;214;июн.76;2
204176;10623800;Axor;Shower;Встраивается в потолок;970;78;970;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;3;empty;Нет;970;53.6;3
200357;B0387MY;Ideal Standard;Idealrain Luxe;На потолок;200;49;200;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;1;empty;Нет;200;0.8;1
200348;B0024AA;Ideal Standard;Idealrain Cube;На потолок;200;52;200;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;1;empty;Нет;200;01.дек;1
200358;B0389MY;Ideal Standard;Idealrain Luxe;На потолок;400;49;400;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;1;empty;Нет;400;фев.79;1
200359;B0390MY;Ideal Standard;Idealrain Luxe;На потолок;300;58;300;Нержавеющая сталь;Прямоугольная;Хром;Нет;01.фев;1;empty;Нет;300;01.июл;1
200355;B0385MY;Ideal Standard;Idealrain Luxe;На потолок;300;49;300;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;1;300;Нет;300;янв.31;1
209481;15Q091;Mariani;empty;На потолок;400;370;400;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;400;empty;empty
230353;24001400;Hansgrohe;Rainmaker;На стену;258;160;586;Нержавеющая сталь/стекло;Прямоугольная;Хром;empty;03.апр;empty;empty;Нет;586;10.015;empty
