Код товара;Артикул;Бренд;Коллекция;Установка;Ширина;Высота;Глубина;Материал;Форма;Цвет;Миксер;Стандарт подводки;Режим струи;Диаметр лейки;Термостат;размер верхнего душа;Вес;Режим верхнего душа
243238;27492000;Grohe;Euphoria Cosmopolitan;На стену / на потолок;180;73;180;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;180;0.82;empty
240602;26411000;Grohe;Tempesta;На стену;210;139;391;Латунь/пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;янв.42;empty
244397;28778000;Grohe;Rainshower;На потолок / На стену;400;51;400;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;400;6;empty
244375;26052000;Grohe;Rainshower;На стену;210;118;391;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;210;02.фев;empty
244387;26171LS0;Grohe;Rainshower;На стену;210;133;527;Латунь;Круглая;Белый//Хром;empty;01.фев;empty;empty;Нет;210;03.фев;empty
244316;27974000;Grohe;Grandera;На потолок / На стену;221;74;221;Латунь;Округлая;Хром;empty;01.фев;empty;empty;Нет;210;фев.21;empty
244382;27480000;Grohe;Rainshower;На потолок / На стену;230;40;230;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;230;фев.83;empty
244882;26226000;Hansgrohe;Rainfinity;На стену;250;168;273;Алюминий;Круглая;Хром;empty;01.фев;empty;empty;empty;250;6.121;empty
244881;26031000;Axor;LampShower;На стену;275;259;565;Латунь;Круглая;Хром;empty;01.фев;empty;empty;empty;275;6.345;empty
161847;SL09;Gllon;empty;На стену;223;79;223;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;2;empty;Нет;223;empty;2
188205;188205;Aquanet;empty;На потолок;250;55;250;Нержавеющая сталь;Круглая;Хром;Нет;01.фев;empty;empty;Нет;250;01.мар;empty
188199;188199;Aquanet;empty;На потолок;250;44;250;Нержавеющая сталь;Квадратная;Хром;Нет;01.фев;empty;empty;Нет;250;янв.49;empty
202245;202245;Aquanet;Classic;На стену;204;145;204;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;204;empty;empty
228207;ZSOF075BO + ZSOF063BO;Paffoni;Syncro;На стену;220;100;400;Нержавеющая сталь/латунь;Квадратная;Белый матовый;empty;01.фев;empty;empty;Нет;200;02.июн;empty
228211;ZSOF046BR + ZSOF034BR;Paffoni;Belinda;На стену;215;150;400;Латунь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;215;02.июн;empty
228213;ZSOF046CR + ZSOF034CR;Paffoni;Belinda;На стену;215;150;400;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;215;02.июн;empty
228214;ZSOF079HG + ZSOF034HG;Paffoni;Master King;На стену;300;100;400;Нержавеющая сталь/латунь;Круглая;Медовое золото;empty;01.фев;empty;empty;Нет;300;02.июн;empty
228217;ZSOF101CR + ZSOF034CR;Paffoni;Master Speciale;На стену;250;100;400;Нержавеющая сталь/латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;250;02.июн;empty
