Код,Артикул,Бренд,Коллекция,Установка,Ширина,Высота,Глубина,Материал,Дизайн,Цвет,Миксер,Гибкая подводка,Режимы,Радиус,Термостат,Размер верхнего душа,Вес,Режимы верхнего душа
00242978,AF301-84-RM,Aquanet,Passion,На потолок,200,20,200,Нержавеющая сталь,Круглая,Хром,empty,1/2,empty,empty,empty,200,0.76,empty
00242982,AF301-84-SL,Aquanet,Passion,На потолок,300,20,300,Нержавеющая сталь,Квадратная,Хром,empty,1/2,empty,empty,empty,300,1.77,empty
00242981,AF301-84-SM,Aquanet,Passion,На потолок,200,20,200,Нержавеющая сталь,Квадратная,Хром,empty,1/2,empty,empty,empty,200,0.89,empty
